Plasmid name,Part Type,Plasmid Description,Antibiotic resistance,Addgene ID,Plate position
pMYT056,N/A,9/E Assembly Cassette,Ampicillin,180709,E8
pMYT057,N/A,S/1 Spacer Cassette,Ampicillin,180710,E9
pMYT058,N/A,1/E Spacer Cassette,Ampicillin,180711,E10
pMYT059,N/A,1/2 Spacer Cassette,Ampicillin,180712,E11
pMYT060,N/A,2/E Spacer Cassette,Ampicillin,180713,E12
pMYT061,N/A,2/3 Spacer Cassette,Ampicillin,180714,F1
pMYT062,N/A,3/E Spacer Cassette,Ampicillin,180715,F2
pMYT063,N/A,3/4 Spacer Cassette,Ampicillin,180716,F3
pMYT064,N/A,4/E Spacer Cassette,Ampicillin,180717,F4
pMYT065,N/A,4/5 Spacer Cassette,Ampicillin,180718,F5
pMYT066,N/A,5/E Spacer Cassette,Ampicillin,180719,F6
pMYT067,N/A,5/6 Spacer Cassette,Ampicillin,180720,F7
pMYT068,N/A,6/E Spacer Cassette,Ampicillin,180721,F8
pMYT069,N/A,6/7 Spacer Cassette,Ampicillin,180722,F9
pMYT070,N/A,7/E Spacer Cassette,Ampicillin,180723,F10
pMYT071,N/A,7/8 Spacer Cassette,Ampicillin,180724,F11
pMYT072,N/A,8/E Spacer Cassette,Ampicillin,180725,F12
pMYT073,N/A,8/9 Spacer Cassette,Ampicillin,180726,G1
pMYT074,N/A,9/E Spacer Cassette,Ampicillin,180727,G2
pMYT075,N/A,Int.1 Vector,Kanamycin,180728,G3
pMYT076,N/A,Int.2 Vector,Kanamycin,180729,G4
pMYT077,N/A,Int.3 Vector,Kanamycin,180730,G5
pMYT078,N/A,Int.4 Vector,Kanamycin,180731,G6
pMYT079,N/A,Int.5 Vector,Kanamycin,180732,G7
pMYT080,N/A,Int.6 Vector,Kanamycin,180733,G8
pMYT081,N/A,Int.7 Vector,Kanamycin,180734,G9
pMYT082,N/A,Int.8 Vector,Kanamycin,198864,G10
pMYT083,N/A,Int.9 Vector,Kanamycin,180736,G11
pMYT084,N/A,Int.10 Vector,Kanamycin,180737,G12
pMYT085,N/A,Int.1 Spacer,Kanamycin,180738,H1
pMYT086,N/A,Int.2 Spacer,Kanamycin,180739,H2
pMYT087,N/A,Int.3 Spacer,Kanamycin,180740,H3
pMYT088,N/A,Int.4 Spacer,Kanamycin,180741,H4
pMYT089,N/A,Int.5 Spacer,Kanamycin,180742,H5
pMYT090,N/A,Int.6 Spacer,Kanamycin,180743,H6
pMYT091,N/A,Int.7 Spacer,Kanamycin,180744,H7
pMYT092,N/A,Int.8 Spacer,Kanamycin,198865,H8
pMYT093,N/A,Int.9 Spacer,Kanamycin,180746,HY
pMYT094,N/A,Int.10 Spacer,Kanamycin,180747,H10
pMYT095,N/A,URA3 CRISPR Vector,Spectinomycin,198866,H11
pMYT096,N/A,Transient CRISPR Vector,Spectinomycin,198867,H12
